case_id,advisory_id,package,primary_primitive,root_cause,root_cause_source,scope_status,status,outcome,representative_scenario_id,catalog_path,scenario_source_path,oracle_tool,mechanism,live_arm_count,reclaim_exact_signal_observed,layout_validation_signal_observed,typeiso_reuse_denial_observed,raw_exact_allocator_signal,implementation_digests,scope_review_required,blocker_reason,blocker_code,conclusion,probe_count,source_artifact
RSH-013,RUSTSEC-2021-0053,algorithmica,double_free,AddressSanitizer reports attempting double-free after merge_sort duplicates String ownership with ptr::read,catalog_oracle.vulnerable,executable,completed,detected,RSH-013-rudra,evaluation/config/rustsec_heap_strong_batch_e_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-013/main.rs,asan,reclaim_checks,2,true,false,false,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,feature_matched_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-014,RUSTSEC-2021-0047,slice-deque,double_free,AddressSanitizer reports attempting double-free after DrainFilter advances past a predicate panic and restores duplicate Box ownership,catalog_oracle.vulnerable,executable,completed,detected,RSH-014-rudra,evaluation/config/rustsec_heap_strong_batch_e_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-014/main.rs,asan,reclaim_checks,2,true,false,false,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,feature_matched_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-018,RUSTSEC-2025-0053,arenavec,double_free,AddressSanitizer reports double-free,catalog_oracle.vulnerable,executable,completed,detected,RSH-018-split-off,evaluation/config/rustsec_heap_harnesses.json,evaluation/harnesses/rustsec_heap/RSH-018/main.rs,asan,reclaim_checks,2,true,false,false,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,feature_matched_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-019,RUSTSEC-2026-0005,oneshot,use_after_free,Miri reports undefined behavior from the concurrency race during the 64-seed sweep,catalog_oracle.vulnerable,executable,completed,inconclusive,RSH-019-upstream,evaluation/config/rustsec_heap_harnesses.json,evaluation/harnesses/rustsec_heap/RSH-019/main.rs,miri,type_isolation,2,false,false,false,false,"{""159806869e12b58903f0f941b016ff60fed6e53a842cca35b5434f54a3d9da09"":2}",false,,,compiler_critical_site_coverage_not_validated,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-020,RUSTSEC-2026-0103,thin-vec,double_free,AddressSanitizer reports attempting double-free,catalog_oracle.vulnerable,executable,completed,detected,RSH-020-advisory,evaluation/config/rustsec_heap_harnesses.json,evaluation/harnesses/rustsec_heap/RSH-020/main.rs,asan,reclaim_checks,2,true,false,false,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,feature_matched_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-021,RUSTSEC-2026-0143,oneringbuf,double_free,AddressSanitizer reports attempting double-free; glibc also aborts,catalog_oracle.vulnerable,executable,completed,detected,RSH-021-advisory,evaluation/config/rustsec_heap_harnesses.json,evaluation/harnesses/rustsec_heap/RSH-021/main.rs,asan,reclaim_checks,2,true,false,false,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,feature_matched_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-031,RUSTSEC-2023-0017,maligned,invalid_free,exact recovery allocation/deallocation layout-mismatch diagnostic,catalog_oracle.vulnerable,executable,completed,detected,RSH-031-derived-layout-validation,evaluation/config/rustsec_heap_harnesses.json,evaluation/harnesses/rustsec_heap/RSH-031/derived_layout_vulnerable.rs,native_diagnostic,recovery_layout_validation,2,false,true,false,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,matched_exact_recovery_layout_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-041,RUSTSEC-2026-0152,oneringbuf,use_after_free,original address equals Replacement address after the boxed LocalHeapRB victim is reclaimed,catalog_oracle.vulnerable,executable,completed,mitigated,RSH-041-derived-reuse,evaluation/config/rustsec_heap_expansion_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-041/derived_reuse.rs,native_address_trace,type_isolation,3,false,false,true,true,"{""b31a731b9aa7dece5f670b8d4d7618622a20bc818de39b18b1109ac206f06286"":3}",false,,,matched_cross_identity_reuse_edge_blocked_and_reported,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-042,RUSTSEC-2026-0128,emap,use_after_free,original and Replacement addresses are equal after Keys::next frees the victim buffer,catalog_oracle.vulnerable,executable,completed,mitigated,RSH-042-derived-reuse,evaluation/config/rustsec_heap_expansion_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-042/derived_reuse.rs,native_address_trace,type_isolation,3,false,false,true,true,"{""b31a731b9aa7dece5f670b8d4d7618622a20bc818de39b18b1109ac206f06286"":3}",false,,,matched_cross_identity_reuse_edge_blocked_and_reported,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-043,RUSTSEC-2026-0131,bitchomp,double_free,AddressSanitizer reports attempting double-free in Box<i32> deallocation,catalog_oracle.vulnerable,executable,completed,detected,RSH-043-upstream,evaluation/config/rustsec_heap_expansion_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-043/main.rs,asan,reclaim_checks,2,true,false,false,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,feature_matched_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-044,RUSTSEC-2021-0018,qwutils,double_free,AddressSanitizer reports double-free,catalog_oracle.vulnerable,executable,completed,detected,RSH-044-rudra,evaluation/config/rustsec_heap_expansion_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-044/main.rs,asan,reclaim_checks,2,true,false,false,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,feature_matched_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-045,RUSTSEC-2021-0033,stack_dst,double_free,AddressSanitizer reports double-free,catalog_oracle.vulnerable,executable,completed,detected,RSH-045-rudra,evaluation/config/rustsec_heap_expansion_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-045/main.rs,asan,reclaim_checks,2,true,false,false,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,feature_matched_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-046,RUSTSEC-2018-0003,smallvec,double_free,AddressSanitizer reports attempting double-free while unwinding SmallVec::insert_many,catalog_oracle.vulnerable,executable,completed,detected,RSH-046-upstream-gist,evaluation/config/rustsec_heap_strong_batch_a_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-046/main.rs,asan,reclaim_checks,2,true,false,false,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,feature_matched_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-047,RUSTSEC-2018-0009,crossbeam,double_free,AddressSanitizer reports attempting double-free when epoch reclamation drops a payload already moved from MsQueue,catalog_oracle.vulnerable,executable,completed,detected,RSH-047-upstream-reduction,evaluation/config/rustsec_heap_strong_batch_a_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-047/main.rs,asan,reclaim_checks,2,true,false,false,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,feature_matched_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-048,RUSTSEC-2019-0009,smallvec,double_free,AddressSanitizer reports attempting double-free after grow(current_capacity) frees the spilled backing allocation,catalog_oracle.vulnerable,executable,completed,detected,RSH-048-upstream,evaluation/config/rustsec_heap_strong_batch_a_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-048/main.rs,asan,reclaim_checks,2,true,false,false,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,feature_matched_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-049,RUSTSEC-2019-0010,libflate,uninitialized_drop,AddressSanitizer reports a sanitizer fault (DEADLYSIGNAL/SEGV) when unwinding invokes Drop for libflate's fabricated uninitialized reader,catalog_oracle.vulnerable,executable,completed,no_signal,RSH-049-advisory,evaluation/config/rustsec_heap_strong_batch_a_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-049/main.rs,asan,reclaim_checks,2,false,false,false,false,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,feature_matched_execution_without_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-050,RUSTSEC-2019-0014,image,uninitialized_drop,AddressSanitizer reports a sanitizer fault (DEADLYSIGNAL/SEGV) while deallocating the uninitialized Box dropped after the HDR scanline error,catalog_oracle.vulnerable,executable,completed,no_signal,RSH-050-upstream-reduction,evaluation/config/rustsec_heap_strong_batch_a_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-050/main.rs,asan,reclaim_checks,2,false,false,false,false,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,feature_matched_execution_without_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-051,RUSTSEC-2019-0021,linea,double_free,AddressSanitizer reports attempting double-free after the supplied Mul implementation panics in Matrix::scale,catalog_oracle.vulnerable,executable,completed,detected,RSH-051-upstream,evaluation/config/rustsec_heap_strong_batch_a_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-051/main.rs,asan,reclaim_checks,2,true,false,false,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,feature_matched_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-052,RUSTSEC-2019-0023,string-interner,use_after_free,original address equals Replacement address after dropping the old interner,catalog_oracle.vulnerable,executable,completed,mitigated,RSH-052-derived-reuse,evaluation/config/rustsec_heap_strong_batch_a_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-052/derived_reuse.rs,native_address_trace,type_isolation,2,false,false,true,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,matched_cross_identity_reuse_edge_blocked_and_reported,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-053,RUSTSEC-2020-0038,ordnung,use_after_free,Miri reports undefined behavior from a dangling reference (use-after-free) when CompactVec drops duplicated ownership after the invalid-index panic,catalog_oracle.vulnerable,executable,completed,detected,RSH-053-rudra,evaluation/config/rustsec_heap_strong_batch_b_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-053/main.rs,miri,reclaim_checks,2,true,false,false,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,feature_matched_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-055,RUSTSEC-2020-0145,heapless,use_after_free,original one-word Vec payload address equals the foreign Replacement address; only that equality gates vulnerable IntoIter::clone's stale payload read,catalog_oracle.vulnerable,executable,completed,mitigated,RSH-055-derived-reuse,evaluation/config/rustsec_heap_strong_batch_b_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-055/derived_reuse.rs,native_address_trace,type_isolation,2,false,false,true,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,matched_cross_identity_reuse_edge_blocked_and_reported,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-057,RUSTSEC-2021-0009,basic_dsp_matrix,use_after_free,Miri reports undefined behavior from a dangling reference (use-after-free) when TransformContent unwinds after duplicating array-element ownership,catalog_oracle.vulnerable,executable,completed,detected,RSH-057-rudra-derived,evaluation/config/rustsec_heap_strong_batch_b_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-057/main.rs,miri,reclaim_checks,2,true,false,false,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,feature_matched_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-058,RUSTSEC-2021-0010,containers,double_free,AddressSanitizer reports attempting double-free when BTree::insert_with unwinds through duplicated Box ownership,catalog_oracle.vulnerable,executable,completed,detected,RSH-058-rudra,evaluation/config/rustsec_heap_strong_batch_b_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-058/main.rs,asan,reclaim_checks,2,true,false,false,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,feature_matched_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-060,RUSTSEC-2021-0028,toodee,out_of_bounds_read,AddressSanitizer reports double-free while unwinding after the iterator yields one owned element and then panics,catalog_oracle.vulnerable,executable,completed,detected,RSH-060-partial-panic,evaluation/config/rustsec_heap_strong_batch_c_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-060/partial_panic.rs,asan,reclaim_checks,2,true,false,false,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,feature_matched_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-061,RUSTSEC-2021-0039,endian_trait,double_free,AddressSanitizer reports double-free after the user Endian implementation panics,catalog_oracle.vulnerable,executable,completed,detected,RSH-061-rudra,evaluation/config/rustsec_heap_strong_batch_c_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-061/main.rs,asan,reclaim_checks,2,true,false,false,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,feature_matched_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-062,RUSTSEC-2021-0040,arenavec,double_free,AddressSanitizer reports double-free when SliceVec resize unwinds through a panicking Drop,catalog_oracle.vulnerable,executable,completed,detected,RSH-062-rudra,evaluation/config/rustsec_heap_strong_batch_c_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-062/main.rs,asan,reclaim_checks,2,true,false,false,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,feature_matched_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-063,RUSTSEC-2021-0042,insert_many,double_free,AddressSanitizer reports double-free when the ExactSizeIterator panics after ownership duplication,catalog_oracle.vulnerable,executable,completed,detected,RSH-063-rudra,evaluation/config/rustsec_heap_strong_batch_c_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-063/main.rs,asan,reclaim_checks,2,true,false,false,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,feature_matched_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-064,RUSTSEC-2022-0028,neon,use_after_free,original Vec backing-store address equals the distinct Replacement address before the stale external read,catalog_oracle.vulnerable,executable,completed,mitigated,RSH-064-derived-reuse,evaluation/config/rustsec_heap_neon_node_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-064/derived_reuse.rs,native_address_trace,type_isolation,5,false,false,true,true,"{""29ec9af086226428864e331e8a21fb9c3437c484e177a4973bb48312d8f9f8c7"":5}",false,,,matched_cross_identity_reuse_edge_blocked_and_reported,0,docs/evidence/rustsec-all-53-live-20260714/rsh064/experiment.json
RSH-065,RUSTSEC-2023-0054,mail-internals,use_after_free,original modeled pre-reserve buffer address equals the foreign Replacement address; only that equality gates the stale copy,catalog_oracle.vulnerable,executable,completed,mitigated,RSH-065-derived-reuse,evaluation/config/rustsec_heap_strong_batch_c_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-065/derived_reuse.rs,native_address_trace,type_isolation,2,false,false,true,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,matched_cross_identity_reuse_edge_blocked_and_reported,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-066,RUSTSEC-2024-0007,rust-i18n-support,use_after_free,stale AtomicStr string address equals the foreign Replacement payload address after dropping the old Arc<String> owner,catalog_oracle.vulnerable,executable,completed,mitigated,RSH-066-derived-reuse,evaluation/config/rustsec_heap_strong_batch_c_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-066/derived_reuse.rs,native_address_trace,type_isolation,2,false,false,true,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,matched_cross_identity_reuse_edge_blocked_and_reported,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-067,RUSTSEC-2025-0004,openssl,use_after_free,victim server-buffer base address equals Replacement address before the stale selected-protocol read,catalog_oracle.vulnerable,executable,completed,mitigated,RSH-067-derived-reuse,evaluation/config/rustsec_heap_strong_batch_c_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-067/derived_reuse.rs,native_address_trace,type_isolation,2,false,false,true,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,matched_cross_identity_reuse_edge_blocked_and_reported,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-068,RUSTSEC-2025-0016,pared,use_after_free,victim String-buffer address equals Replacement address before the stale Parc projection read,catalog_oracle.vulnerable,executable,completed,mitigated,RSH-068-derived-reuse,evaluation/config/rustsec_heap_strong_batch_f_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-068/derived_reuse.rs,native_address_trace,type_isolation,2,false,false,true,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,matched_cross_identity_reuse_edge_blocked_and_reported,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-069,RUSTSEC-2025-0022,openssl,use_after_free,freed properties address equals the foreign Replacement address; only that equality gates the simulated FFI C-string read,catalog_oracle.vulnerable,executable,completed,mitigated,RSH-069-derived-reuse,evaluation/config/rustsec_heap_strong_batch_f_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-069/derived_reuse.rs,native_address_trace,type_isolation,2,false,false,true,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,matched_cross_identity_reuse_edge_blocked_and_reported,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-070,RUSTSEC-2025-0024,crossbeam-channel,double_free,AddressSanitizer reports double-free after discard_all_messages and Channel::drop reclaim the same list block,catalog_oracle.vulnerable,executable,completed,detected,RSH-070-list-drop-race,evaluation/config/rustsec_heap_strong_batch_f_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-070/main.rs,asan,reclaim_checks,2,true,false,false,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,feature_matched_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-071,RUSTSEC-2025-0044,slice-ring-buffer,double_free,AddressSanitizer reports double-free when cloned IntoIter values both reclaim the same String elements,catalog_oracle.vulnerable,executable,completed,detected,RSH-071-into-iter-clone,evaluation/config/rustsec_heap_strong_batch_f_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-071/main.rs,asan,reclaim_checks,2,true,false,false,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,feature_matched_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
RSH-072,RUSTSEC-2026-0122,rkyv,double_free,AddressSanitizer reports double-free when panic-unsafe InlineVec::clear leaves a dropped Box counted as live,catalog_oracle.vulnerable,executable,completed,detected,RSH-072-inline-vec-clear,evaluation/config/rustsec_heap_strong_batch_f_harnesses.json,evaluation/harnesses/rustsec_heap_expansion/RSH-072/main.rs,asan,reclaim_checks,2,true,false,false,true,"{""36bc040455f8c5fa6142a91b2321bc9d018aad08764f7d8c8e5554b3e4460847"":2}",false,,,feature_matched_exact_allocator_diagnostic,0,docs/evidence/rustsec-all-53-live-20260714/executable-replay-48.json
